internalCode,description,unspscCode,unit,unitPrice,taxRate,isService
PERF-001,Chanel No. 5 EDP 100ml,53131600,UND,520000,19,false
PERF-002,Dior Sauvage EDT 100ml,53131600,UND,480000,19,false
PERF-003,Chanel Bleu de Chanel EDP 100ml,53131600,UND,490000,19,false
PERF-004,YSL Black Opium EDP 90ml,53131600,UND,420000,19,false
PERF-005,Gucci Bloom EDP 100ml,53131600,UND,440000,19,false
PERF-006,Tom Ford Black Orchid EDP 100ml,53131600,UND,720000,19,false
PERF-007,Dior Miss Dior EDP 100ml,53131600,UND,450000,19,false
PERF-008,Versace Eros EDT 100ml,53131600,UND,310000,19,false
PERF-009,Paco Rabanne 1 Million EDT 100ml,53131600,UND,330000,19,false
PERF-010,Armani Acqua di Gio EDT 100ml,53131600,UND,340000,19,false
PERF-011,Lancome La Vie Est Belle EDP 100ml,53131600,UND,400000,19,false
PERF-012,Mugler Angel EDP 100ml,53131600,UND,380000,19,false
PERF-013,Carolina Herrera 212 EDT 100ml,53131600,UND,290000,19,false
PERF-014,Hugo Boss Bottled EDT 100ml,53131600,UND,270000,19,false
PERF-015,Dolce Gabbana Light Blue EDT 100ml,53131600,UND,320000,19,false
PERF-016,Marc Jacobs Daisy EDT 100ml,53131600,UND,300000,19,false
PERF-017,Calvin Klein CK One EDT 200ml,53131600,UND,240000,19,false
PERF-018,Viktor Rolf Flowerbomb EDP 100ml,53131600,UND,560000,19,false
PERF-019,Narciso Rodriguez For Her EDP 100ml,53131600,UND,430000,19,false
PERF-020,YSL Libre EDP 90ml,53131600,UND,460000,19,false
